"Ht"	"Sun"	"Tr"	"Sp"
"1"	15.381840844577	1.53825157810934	0	"C"
"2"	28.4166290260803	2.85235291486606	1	"A"
"3"	16.3469252535584	1.81562314392067	0	"C"
"4"	20.4044112096317	5.94270852440968	0	"B"
"5"	26.9565726321657	5.10950861661695	0	"A"
"6"	21.1383366655641	3.35885852109641	1	"B"
"7"	27.9367275154854	4.45858157775365	1	"A"
"8"	15.1321088242751	1.75791673362255	0	"B"
"9"	29.3593779877276	7.43254412291571	0	"A"
"10"	23.0346216637648	3.50195070146583	1	"A"
"11"	28.5253757472497	2.72980424482375	1	"A"
"12"	24.254250973275	5.33218051097356	1	"B"
"13"	20.9452865607139	4.81486568157561	0	"C"
"14"	27.618804064655	7.45287546725012	0	"A"
"15"	27.8529475181175	4.37844623392448	1	"A"
"16"	23.2525870683603	1.78440960147418	1	"A"
"17"	28.2804421454188	6.82036887062714	0	"A"
"18"	35.2012139160026	6.32950561284088	1	"A"
"19"	35.9360264246498	6.05499836453237	1	"A"
"20"	32.7929714152512	4.72130092373118	1	"A"
"21"	22.2425637359326	4.2560129140038	1	"B"
"22"	28.7181029203701	6.30029968568124	0	"A"
"23"	28.2095333442115	6.42496043560095	0	"A"
"24"	27.3144577742916	3.47246672143228	0	"A"
"25"	18.8596520206508	3.01792209362611	0	"B"
"26"	25.4378350009063	5.03060733736493	0	"A"
"27"	15.6966348678187	1.4084540407639	0	"B"
"28"	10.6402842942568	1.87238132325001	0	"B"
"29"	25.9821353150387	6.10942610632628	0	"C"
"30"	39.699950101398	6.36304780980572	1	"C"
"31"	21.4199510369236	5.45064269495197	0	"C"
"32"	21.1728010117784	1.50083964900114	0	"A"
"33"	21.2977801598038	3.15278527536429	0	"B"
"34"	27.4286600603011	2.63076733099297	1	"C"
"35"	19.1328502856391	6.34290797519498	0	"B"
"36"	26.48981896913	4.37914226413704	1	"A"
"37"	21.7212340191732	6.27759311976843	0	"B"
"38"	34.8957119045155	5.1849390657153	1	"C"
"39"	25.5185329703652	2.86298461211845	1	"C"
"40"	16.9141391752811	1.2835388246458	1	"B"
"41"	40.4211473186801	7.3153251206968	1	"C"
"42"	27.9651634738772	3.1887054075487	1	"A"
"43"	26.4672053093266	4.55685733724385	1	"A"
"44"	22.7214086135576	7.19010694161989	0	"B"
"45"	23.1206826041865	6.3875891068019	0	"B"
"46"	22.3686290667168	4.87553332629614	0	"C"
"47"	25.9147153595413	6.41231289901771	0	"C"
"48"	21.5000518580113	4.70107012428343	0	"B"
"49"	19.6511114823743	2.4150331071578	0	"B"
"50"	22.8879450647966	5.50644820206799	1	"B"
"51"	26.123713081481	3.61654730443843	0	"A"
"52"	30.6270931406861	4.4211814191658	0	"A"
"53"	28.3166656115115	4.95077309850603	1	"B"
"54"	30.6538668509767	7.75060578109697	1	"B"
"55"	30.457104783936	7.06070710672066	1	"A"
"56"	23.8595682978557	4.16626901179552	0	"A"
"57"	17.9227356469074	4.67540730792098	0	"B"
"58"	23.5618243433965	4.02832447830588	0	"A"
"59"	27.0378338280754	7.34861429221928	0	"C"
"60"	23.7354909501409	1.56585811125115	0	"A"
"61"	17.6443185162932	1.10822370066307	0	"C"
"62"	25.635162573813	5.7874515845906	0	"A"
"63"	19.1252577806737	5.51957148802467	0	"C"
"64"	32.763246097342	7.65228972607292	0	"A"
"65"	21.4739051356822	3.54881615773775	1	"B"
"66"	28.1339540198764	7.86219521821477	0	"C"
"67"	20.3702739569378	3.65204100380652	0	"C"
"68"	14.4962058994967	1.53406548919156	1	"B"
"69"	20.9597050353049	5.10111531964503	0	"C"
"70"	30.8970268691593	6.47487891581841	1	"A"
"71"	14.6976588846675	3.00941363885067	0	"C"
"72"	27.3375104906688	7.14769519469701	1	"B"
"73"	17.1348658638273	2.8219784644898	0	"A"
"74"	29.4231029982686	2.89372018864378	1	"A"
"75"	17.3144331158878	2.31942575820722	0	"C"
"76"	16.1460098589217	1.29750029812567	0	"C"
"77"	34.7207684079699	7.34693934977986	0	"A"
"78"	28.9610566424599	6.09251194191165	1	"B"
"79"	19.1038905806779	4.51357935857959	1	"B"
"80"	21.5033189663782	4.25343219726346	0	"C"
"81"	30.7111751350561	7.76228576037101	1	"B"
"82"	10.7306305693493	1.39923798735254	0	"B"
"83"	25.858691336342	3.51562404166907	1	"A"
"84"	23.7648377018556	7.67904149158858	0	"B"
"85"	30.9557691965368	7.03380068647675	1	"B"
"86"	23.209383217274	3.29678677162156	1	"A"
"87"	22.5228632904524	5.13690501940437	0	"C"
"88"	25.7336885495397	4.65219521755353	1	"B"
